collid	category	local_hit	away_hit	all_hit	local_srch	away_srch	all_srch	local_user	away_user	all_user	local_brws	away_brws	all_brws	month_year
tdh	text	0	3	3	1	6	7	4	12	16	0	0	0	Aug-03
tdh-bib	bib	0	0	0	0	0	0	1	2	3	0	0	0	Aug-03
rth-bib	bib	0	0	0	2	0	2	1	2	3	0	0	0	Aug-03
mcc	image	0	0	0	0	0	0	1	1	2	0	0	0	Aug-03
coc	image	0	0	0	0	0	0	1	0	1	0	0	0	Aug-03
jei-bib	bib	0	0	0	2	0	2	3	1	4	0	0	0	Aug-03
mpm-bib	bib	0	0	0	0	3	3	1	3	4	0	0	0	Aug-03
fa-bib	bib	0	0	0	5	0	5	1	3	4	0	0	0	Aug-03
mcc-bib	bib	0	0	0	6	0	6	1	1	2	0	0	0	Aug-03
utcat	text	4618	13936	18554	0	0	0	1905	5538	7443	3855	10850	14705	Aug-04
mcc	image	14	489	503	23	142	165	8	171	179	1	5	6	Aug-04
egy	image	114	237	351	81	4	85	12	174	186	4	19	23	Aug-04
rth	image	275	1946	2221	27	98	125	19	722	741	0	21	21	Aug-04
etd-bib	bib	0	0	0	103	322	425	80	165	245	36	84	120	Aug-04
tdh	text	18	651	669	28	262	290	18	483	501	14	38	52	Aug-04
ual	image	9	676	685	2	14	16	5	321	326	0	6	6	Aug-04
fa	text	2	16	18	0	0	0	1	8	9	0	0	0	Aug-04
uky	image	9	119	128	37	176	213	5	79	84	2	0	2	Aug-04
coc	image	0	0	0	0	0	0	0	2	2	0	0	0	Aug-04
egy-bib	bib	0	0	0	16	12	28	8	9	17	0	0	0	Aug-04
fa-bib	bib	0	0	0	21	18	39	6	9	15	0	0	0	Aug-04
mcc-bib	bib	0	0	0	28	24	52	8	9	17	0	0	0	Aug-04
jei-bib	bib	0	0	0	0	0	0	6	9	15	0	0	0	Aug-04
mpm-bib	bib	0	0	0	1	0	1	7	9	16	0	0	0	Aug-04
rth-bib	bib	0	0	0	49	42	91	7	9	16	0	0	0	Aug-04
tdh-bib	bib	0	0	0	0	0	0	6	10	16	0	0	0	Aug-04
